group,id,method,repetition,dataset,scene,psnr,ssim,lpips,wall_time_s
primary,primary/R1/wo_densification_aware/counter,wo_densification_aware,R1,mipnerf360,counter,28.932422637939453,0.9042491316795349,0.207414910197258,209.0
primary,primary/R1/wo_densification_aware/kitchen,wo_densification_aware,R1,mipnerf360,kitchen,31.65020179748535,0.9272149205207825,0.1288033276796341,271.0
primary,primary/R1/wo_densification_aware/bonsai,wo_densification_aware,R1,mipnerf360,bonsai,31.873214721679688,0.9394038319587708,0.19375120103359222,208.0
primary,primary/R1/wo_densification_aware/truck,wo_densification_aware,R1,tnt,truck,25.56163787841797,0.8700581789016724,0.18331733345985413,117.0
primary,primary/R1/wo_densification_aware/train,wo_densification_aware,R1,tnt,train,22.232507705688477,0.7997117042541504,0.2505718171596527,123.0
primary,primary/R1/wo_densification_aware/drjohnson,wo_densification_aware,R1,db,drjohnson,29.517187118530273,0.8960161805152893,0.2808619737625122,127.0
primary,primary/R1/wo_densification_aware/playroom,wo_densification_aware,R1,db,playroom,30.68094253540039,0.9055514931678772,0.2671433687210083,118.0
primary,primary/R1/wo_ipw/bicycle,wo_ipw,R1,mipnerf360,bicycle,24.215099334716797,0.6412129998207092,0.3903054893016815,190.0
primary,primary/R1/wo_ipw/flowers,wo_ipw,R1,mipnerf360,flowers,20.436933517456055,0.4842551350593567,0.48199936747550964,184.0
primary,primary/R1/wo_ipw/garden,wo_ipw,R1,mipnerf360,garden,26.812978744506836,0.8040432333946228,0.2251880168914795,259.0
primary,primary/R1/wo_ipw/stump,wo_ipw,R1,mipnerf360,stump,25.747350692749023,0.693170964717865,0.3770517110824585,162.0
primary,primary/R1/wo_ipw/treehill,wo_ipw,R1,mipnerf360,treehill,22.733779907226562,0.5706588625907898,0.4845353364944458,174.0
primary,primary/R1/wo_ipw/room,wo_ipw,R1,mipnerf360,room,31.561298370361328,0.9104365706443787,0.23687396943569183,184.0
primary,primary/R1/wo_ipw/counter,wo_ipw,R1,mipnerf360,counter,28.8487491607666,0.8980081081390381,0.21911057829856873,200.0
