group,method,dataset,executions,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,wall_time_sum_s_mean,wall_time_sum_s_std
primary,fastgs_base,db,3,29.988495508829754,0.06206923297360235,0.9014185468355814,0.00028612520816148764,0.2698841293652852,0.0006161241373038,295.0,2.0
primary,fastgs_base,mipnerf360,3,27.535266734935618,0.009486782543042274,0.797213457248829,0.00014727805260063444,0.2613364165579831,0.0001040003898714158,2340.3333333333335,37.89898855290644
primary,fastgs_base,tnt,3,24.096818606058758,0.08295822919938016,0.8389205932617188,0.0010036290322729437,0.20998070140679678,0.0006403768567240732,283.0,1.7320508075688772
primary,full,all13,3,27.275272907354893,0.018902339059210217,0.8176392775315504,0.000304574395122326,0.2578098877118184,0.00013355845048360838,2520.0,16.822603841260722
primary,full,db,3,29.934091250101726,0.14348849359176358,0.8997438549995422,0.0020181252776313697,0.27297566334406537,0.0001484693722183581,249.33333333333334,1.1547005383792515
primary,full,mipnerf360,3,27.429834012632018,0.00854674533115123,0.7955115481659218,0.00015173463780310866,0.2638382056245097,0.00021897096528534314,2026.0,12.288205727444508
primary,full,tnt,3,23.920929590861004,0.020444763816016603,0.8351094822088877,6.155679849325984e-05,0.21551668147246042,0.00018169437488374805,244.66666666666666,3.511884584284246
primary,skipgs_base,all13,3,27.324221439850636,0.015441105950412997,0.8184573910175226,0.00011658042190634145,0.25691908788986695,5.081137748348161e-05,2622.6666666666665,17.67295485574875
primary,skipgs_base,db,3,30.045169830322266,0.04296602061959374,0.9008435010910034,0.0004148871501961805,0.272287259499232,6.707188831914099e-05,258.6666666666667,1.5275252316519468
primary,skipgs_base,mipnerf360,3,27.464587529500324,0.008468637414981854,0.7960988989582768,0.00010804685169387122,0.2632846059622588,1.7814422001748344e-05,2112.6666666666665,14.153915830374764
primary,skipgs_base,tnt,3,23.971625645955402,0.041358830769134235,0.8366844952106476,0.0001398237436836408,0.21290608495473862,0.0001898714287263989,251.33333333333334,3.2145502536643185
primary,wo_channel,all13,3,27.30284910935622,0.008315186642877176,0.8181134661038717,0.0002878072388473265,0.2574896785693291,1.008026226279079e-05,2591.3333333333335,24.684678108764825
primary,wo_channel,db,3,30.000793139139812,0.0674400280590794,0.9002334972222646,0.00177554062851477,0.27330174545447034,0.00015902568119270652,257.0,2.6457513110645907
primary,wo_channel,mipnerf360,3,27.45076582166884,0.01218265703291684,0.795823785993788,0.00016016896777053662,0.2637244540232199,3.771133993574941e-05,2084.6666666666665,19.553345834749955
primary,wo_channel,tnt,3,23.93927987416585,0.005626964265493962,0.8362969954808553,0.0002599545616566395,0.21362112214167914,0.0001848383029693273,249.66666666666666,2.516611478423583
primary,wo_densification_aware,all13,3,27.265239177606045,0.019633791852225024,0.8170708738840543,0.0001403395344817186,0.2590330904110884,0.00021137236012333183,2516.0,14.106735979665885
primary,wo_densification_aware,db,3,29.950019518534344,0.12949683889010924,0.9004030724366506,0.0004733631875756403,0.2743411362171173,0.00034794320130841967,247.0,2.0
primary,wo_densification_aware,mipnerf360,3,27.4116377653899,0.007317845449611521,0.7946640606279727,0.00010546822860331834,0.2649158211769881,0.00017159266789702074,2026.0,13.0
primary,wo_densification_aware,tnt,3,23.92166519165039,0.028645726800768687,0.8345693349838257,0.00029622264015368804,0.21725275615851083,0.00026946025376149387,243.0,3.0
primary,wo_ipw,all13,3,26.93995852348132,0.014623381301549974,0.7905338628169818,9.990193706158884e-05,0.29366569488476485,2.6937986481154294e-05,2256.0,24.515301344262525
primary,wo_ipw,db,3,29.660378138224285,0.11022851514774919,0.8933524688084921,0.0013542993275553576,0.2898515313863754,5.368726667297544e-05,228.0,3.0
