group,method,dataset,repetition,scenes,psnr,ssim,lpips,wall_time_sum_s
primary,wo_channel,mipnerf360,R3,9,27.456951141357422,0.7958025005128648,0.26370799872610307,2090.0
primary,wo_channel,tnt,R1,2,23.93680763244629,0.8361138105392456,0.2134571149945259,252.0
primary,wo_channel,tnt,R2,2,23.935312271118164,0.8361826539039612,0.2138214111328125,247.0
primary,wo_channel,tnt,R3,2,23.945719718933105,0.8365945219993591,0.21358484029769897,250.0
primary,wo_densification_aware,all13,R1,13,27.287670575655422,0.8172308848454402,0.25880192105586713,2518.0
primary,wo_densification_aware,all13,R2,13,27.25117566035344,0.816968674843128,0.25908086047722745,2501.0
primary,wo_densification_aware,all13,R3,13,27.25687129680927,0.8170130619635949,0.25921648970017064,2529.0
primary,wo_densification_aware,db,R1,2,30.099064826965332,0.9007838368415833,0.27400267124176025,245.0
primary,wo_densification_aware,db,R2,2,29.86507797241211,0.9005523025989532,0.27432289719581604,247.0
primary,wo_densification_aware,db,R3,2,29.885915756225586,0.8998730778694153,0.27469784021377563,249.0
primary,wo_densification_aware,mipnerf360,R1,9,27.41638247172038,0.7947404384613037,0.26472560895813835,2033.0
primary,wo_densification_aware,mipnerf360,R2,9,27.403210110134548,0.79454372326533,0.264962880147828,2011.0
primary,wo_densification_aware,mipnerf360,R3,9,27.415320714314777,0.7947080201572843,0.265058974424998,2034.0
primary,wo_densification_aware,tnt,R1,2,23.897072792053223,0.8348849415779114,0.21694457530975342,240.0
primary,wo_densification_aware,tnt,R2,2,23.953118324279785,0.8342973291873932,0.21736973524093628,243.0
primary,wo_densification_aware,tnt,R3,2,23.914804458618164,0.8345257341861725,0.21744395792484283,246.0
primary,wo_ipw,all13,R1,13,26.924945391141453,0.7904894672907316,0.29364211284197295,2281.0
primary,wo_ipw,all13,R2,13,26.95415819608248,0.7906482678193313,0.293695052082722,2232.0
primary,wo_ipw,all13,R3,13,26.940771983220028,0.7904638533408825,0.2936599197295996,2255.0
primary,wo_ipw,db,R1,2,29.578712463378906,0.8927545547485352,0.28991271555423737,231.0
primary,wo_ipw,db,R2,2,29.78575897216797,0.8949028253555298,0.289812296628952,225.0
primary,wo_ipw,db,R3,2,29.616662979125977,0.8924000263214111,0.2898295819759369,228.0
primary,wo_ipw,mipnerf360,R1,9,27.05923843383789,0.7619845072428385,0.3068084667126338,1821.0
primary,wo_ipw,mipnerf360,R2,9,27.030449549357098,0.7617180678579543,0.3068182087606854,1785.0
primary,wo_ipw,mipnerf360,R3,9,27.068530400594074,0.7619578606552548,0.30667617751492393,1803.0
primary,wo_ipw,tnt,R1,2,23.66685962677002,0.8164967000484467,0.23812291771173477,229.0
primary,wo_ipw,tnt,R2,2,23.77924633026123,0.8165796101093292,0.23852360248565674,222.0
primary,wo_ipw,tnt,R3,2,23.68996810913086,0.8168046474456787,0.23891709744930267,224.0
primary,wo_temporal,all13,R1,13,27.26873471186711,0.8178860591008112,0.2574558750941203,2553.0
primary,wo_temporal,all13,R2,13,27.198055560772236,0.8176228633293738,0.2573820902751042,2520.0
primary,wo_temporal,all13,R3,13,27.258105057936447,0.8177847082798297,0.25744060713511246,2553.0
primary,wo_temporal,db,R1,2,29.913241386413574,0.9000518321990967,0.27250662446022034,254.0
primary,wo_temporal,db,R2,2,29.479036331176758,0.8986751437187195,0.27277837693691254,250.0
primary,wo_temporal,db,R3,2,29.69244956970215,0.8982345163822174,0.2741769999265671,253.0
primary,wo_temporal,mipnerf360,R1,9,27.42011833190918,0.7956947816742791,0.2634535878896713,2052.0
primary,wo_temporal,mipnerf360,R2,9,27.4198792775472,0.7956695159276327,0.2633611692322625,2027.0
primary,wo_temporal,mipnerf360,R3,9,27.447617212931316,0.7958830263879564,0.2633078230751885,2053.0
primary,wo_temporal,tnt,R1,2,23.943001747131348,0.8355810344219208,0.21541541814804077,247.0
primary,wo_temporal,tnt,R2,2,23.91886806488037,0.8353606462478638,0.21507994830608368,243.0
primary,wo_temporal,tnt,R3,2,23.970955848693848,0.8358924686908722,0.21430174261331558,247.0
sensitivity,factorgrad_fastgs,all13,single,13,27.30935111412635,0.8186211173350995,0.25573596587547887,2805.0
sensitivity,factorgrad_fastgs,db,single,2,29.67244815826416,0.8975980579853058,0.27118782699108124,280.0
sensitivity,factorgrad_fastgs,mipnerf360,single,9,27.489338556925457,0.7967516978581747,0.261969366007381,2252.0
sensitivity,factorgrad_fastgs,tnt,single,2,24.136310577392578,0.8380565643310547,0.21223380416631699,273.0
sensitivity,late,all13,single,13,27.3169128711407,0.8179924029570359,0.2581132661837798,2611.0
sensitivity,late,db,single,2,30.0968074798584,0.9014244377613068,0.2726578116416931,258.0
sensitivity,late,mipnerf360,single,9,27.445706685384113,0.7953262527783712,0.2645748489432865,2100.0
sensitivity,late,tnt,single,2,23.957446098327637,0.8365580439567566,0.2144915983080864,253.0
sensitivity,q05,all13,single,13,27.261206553532528,0.8170428597010099,0.258672487277251,2555.0
sensitivity,q05,db,single,2,29.94829273223877,0.8996474146842957,0.2733462452888489,251.0
sensitivity,q05,mipnerf360,single,9,27.409024132622612,0.7949094573656718,0.264621376991272,2057.0
sensitivity,q05,tnt,single,2,23.9089412689209,0.8340386152267456,0.2172287255525589,247.0
sensitivity,q08,all13,single,13,27.24959637568547,0.817421555519104,0.2578480071746386,2567.0
sensitivity,q08,db,single,2,29.775229454040527,0.8992035090923309,0.2723160833120346,254.0
sensitivity,q08,mipnerf360,single,9,27.422712961832683,0.7953897251023186,0.2639406638012992,2063.0
sensitivity,q08,tnt,single,2,23.94493865966797,0.8347828388214111,0.2159629762172699,250.0
sensitivity,stabilization0,all13,single,13,27.29675733126127,0.817674980713771,0.257706072468024,2578.0
sensitivity,stabilization0,db,single,2,29.9324312210083,0.89963299036026,0.27246324717998505,255.0
sensitivity,stabilization0,mipnerf360,single,9,27.432646221584744,0.7954109907150269,0.26375289426909554,2072.0
sensitivity,stabilization0,tnt,single,2,24.049583435058594,0.8359049260616302,0.2157381996512413,251.0
sensitivity,stabilization1536,all13,single,13,27.26128519498385,0.8178128737669724,0.25783687371474046,2559.0
sensitivity,stabilization1536,db,single,2,29.833794593811035,0.9010475873947144,0.27302929759025574,253.0
sensitivity,stabilization1536,mipnerf360,single,9,27.428326076931423,0.7955041196611192,0.2638460596402486,2058.0
sensitivity,stabilization1536,tnt,single,2,23.937091827392578,0.8349675536155701,0.21560311317443848,248.0
shorter_transfer,raw_shortergs,all13,single,13,26.998504192307692,0.8281432769230769,0.22030874615384616,
shorter_transfer,raw_shortergs,db,single,2,29.4211864,0.8967301999999999,0.24854684999999999,
shorter_transfer,raw_shortergs,mipnerf360,single,9,27.251370533333333,0.8094877666666667,0.22474622222222224,
shorter_transfer,raw_shortergs,tnt,single,2,23.43792345,0.8435061500000001,0.172102,
shorter_transfer,shortergs_factorgrad,all13,single,13,26.949214646153845,0.8260550692307692,0.22404440769230768,
shorter_transfer,shortergs_factorgrad,db,single,2,29.4487562,0.89819,0.25043295,
shorter_transfer,shortergs_factorgrad,mipnerf360,single,9,27.16067907777778,0.8063768111111111,0.2287772,
shorter_transfer,shortergs_factorgrad,tnt,single,2,23.49808315,0.8424723000000001,0.1763583,
transfer,dash_factorgrad_full,all13,single,13,27.337338814368614,0.8322038237865155,0.22158911594977745,4658.0
transfer,dash_factorgrad_full,db,single,2,29.71286392211914,0.9005518555641174,0.252526193857193,523.0
transfer,dash_factorgrad_full,mipnerf360,single,9,27.58367411295573,0.814317544301351,0.22262921432654062,3546.0
transfer,dash_factorgrad_full,tnt,single,2,23.853304862976074,0.8443440496921539,0.18597159534692764,589.0
transfer,dash_raw,all13,single,13,27.414517182570236,0.8334426650634179,0.22042771314199155,4689.0
transfer,dash_raw,db,single,2,29.986763954162598,0.9029695689678192,0.25139711797237396,525.0
transfer,dash_raw,mipnerf360,single,9,27.599658542209202,0.8147382272614373,0.22215986169046825,3571.0
transfer,dash_raw,tnt,single,2,24.00913429260254,0.8480857312679291,0.1816636398434639,593.0
transfer,legs_factorgrad_full,all13,single,13,27.99991226196289,0.8533708728276767,0.18621150862712127,8541.0
transfer,legs_factorgrad_full,db,single,2,30.15399742126465,0.9120868742465973,0.22699470818042755,854.0
transfer,legs_factorgrad_full,mipnerf360,single,9,28.22627788119846,0.8367512491014268,0.18506508155001533,6453.0
transfer,legs_factorgrad_full,tnt,single,2,24.827181816101074,0.8694431781768799,0.15058723092079163,1234.0
transfer,legs_raw,all13,single,13,28.018966381366436,0.8533745774855981,0.1838112221314357,8775.0
transfer,legs_raw,db,single,2,30.194937705993652,0.9113700687885284,0.22598859667778015,874.0
transfer,legs_raw,mipnerf360,single,9,28.278684192233616,0.8369218839539422,0.18300809462865195,6635.0
transfer,legs_raw,tnt,single,2,24.674264907836914,0.869416207075119,0.1452479213476181,1266.0
transfer,taming_factorgrad_full,all13,single,13,27.15260300269494,0.8164089826437143,0.2558992803096771,4735.0
transfer,taming_factorgrad_full,db,single,2,29.7723445892334,0.8998923897743225,0.27494293451309204,491.0
transfer,taming_factorgrad_full,mipnerf360,single,9,27.31165991889106,0.7938098576333787,0.2615641802549362,3778.0
transfer,taming_factorgrad_full,tnt,single,2,23.817105293273926,0.8346216380596161,0.21136357635259628,466.0
transfer,taming_raw,all13,single,13,27.205777681790867,0.8166759335077726,0.2545406142106423,4842.0
transfer,taming_raw,db,single,2,29.855274200439453,0.8993174433708191,0.27381522953510284,511.0
transfer,taming_raw,mipnerf360,single,9,27.33265029059516,0.7939566506279839,0.2605360233121448,3855.0
transfer,taming_raw,tnt,single,2,23.98535442352295,0.836271196603775,0.20828665792942047,476.0
transfer,vanilla_factorgrad_late,all13,single,13,27.247327951284554,0.8313006070943979,0.21826529273620018,
transfer,vanilla_factorgrad_late,db,single,2,29.64604663848877,0.9031469225883484,0.2425014227628708,
transfer,vanilla_factorgrad_late,mipnerf360,single,9,27.52023082309299,0.8118150896496243,0.22286609643035465,
transfer,vanilla_factorgrad_late,tnt,single,2,23.620546340942383,0.8471391201019287,0.1733255460858345,
transfer,vanilla_raw,all13,single,13,27.303066106942985,0.8322073954802293,0.21618652630310792,
transfer,vanilla_raw,db,single,2,29.782907485961914,0.9028260409832001,0.2410382479429245,
transfer,vanilla_raw,mipnerf360,single,9,27.53728569878472,0.8127536310089959,0.22089121490716934,
transfer,vanilla_raw,tnt,single,2,23.76923656463623,0.8491306900978088,0.17016370594501495,
vanilla_full_boundary,vanilla_full,all13,single,13,27.236619802621696,0.8318534585145804,0.21763618634297296,
vanilla_full_boundary,vanilla_full,db,single,2,29.665549278259277,0.9025397598743439,0.24223926663398743,
vanilla_full_boundary,vanilla_full,mipnerf360,single,9,27.475128597683376,0.8126232756508721,0.2219024764166938,
vanilla_full_boundary,vanilla_full,tnt,single,2,23.734400749206543,0.8477029800415039,0.17383480072021484,
